Month;Total transactions through Qatar e-Government Hukoomi
2022-10;185272
2022-08;172574
2021-12;138347
2021-10;148656
2021-09;151432
2021-06;179795
2021-03;270586
2021-02;159750
2020-10;137518
2020-09;118898
2020-04;45002
2020-03;86431
2018-08;135531
2018-06;119605
2018-05;159596
2022-12;121938
2022-09;166768
2022-06;158828
2022-05;121603
2022-03;198919
2022-02;145155
2022-01;158605
2021-07;143309
2021-05;126450
2021-04;136075
2021-01;151695
2020-12;136034
2020-08;101696
2020-02;78324
2020-01;81962
2019-12;73770
2019-11;78727
2019-10;88567
2019-09;85349
2019-08;70123
2019-07;88617
2019-06;71761
2019-03;103852
2019-01;8764
2018-12;102485
2018-11;99849
2018-09;143950
2018-03;167646
2018-02;158303
2023-02;148567
2023-01;160598
2022-11;151731
2022-07;128445
2022-04;135400
2021-11;162025
2021-08;160172
2020-11;150707
2020-07;100026
2020-06;66941
2020-05;41530
2019-05;75202
2019-04;98382
2019-02;93683
2018-10;111849
2018-07;175216
2018-04;163855
2018-01;176902
