Month;Maximum Average Temperature (ᵒC);Minimum Average Temperature (ᵒC);Mean Wind Speed (Knots);Average Relative Humidity (%);Msl Pressure (hPa)
2024-11;30.7;23.5;6.1;64;1015.5
2024-10;34.6;28.2;6.9;58;1010.8
2024-09;38.6;30.9;5.5;54;1003.7
2024-08;39.7;33.4;6.7;57;998.9
2024-07;43.2;34.3;7.2;35;995.6
2024-06;42.2;32;5.7;39;999.7
2024-05;37.8;28.5;8.6;42;1006.1
2024-04;32.2;24;6.4;50;1009.6
2024-03;26.4;19.6;7.5;57;1015.2
2024-02;24.2;17.6;8.1;60;1017.8
2024-01;25.1;18.3;6.6;63;1018.3
2023-12;26.3;19.8;5.4;64;1018.6
2023-11;29.9;24;6.1;61;1015.7
2023-10;36.3;28.3;5.6;60;1011.8
2023-09;39.7;31.7;6.1;56;1003.8
2023-08;41.1;33.4;5.8;53;1000.4
2023-07;41.9;32.9;6.4;44;998.1
2023-06;41.6;31.7;8.1;35.3;1000.8
2023-05;37.9;28.5;7.1;37;1007.8
2023-04;31.4;22.6;6.6;47;1011.2
2023-03;28.5;20.9;6.2;54;1013.2
2023-02;25.1;17.6;7.9;60;1017
2023-01;21.4;16.2;6.7;73;1020.1
2022-12;25.5;19.8;6.1;64;1018
2022-11;31.5;24.5;5.7;58;1015.3
2022-10;35.5;27.4;4.4;60;1011.9
2022-09;38;31;6.3;57;1004.3
2022-08;39.7;33.1;5.3;58;998.7
2022-07;39.2;32.5;6.2;57;997
2022-06;41.5;31.3;6.7;40.2;1000.1
2022-05;38.8;29.6;10.3;28;1005.5
2022-04;35;24.8;6.3;37;1009.4
2022-03;29.6;20.1;8.1;49.8;1013.4
2022-02;24.5;16.8;6.9;59;1016.3
2022-01;22.6;16.2;6.6;65;1017.9
2021-12;25.8;19.4;6.1;64;1018.5
2021-11;31;23.7;5.9;59;1014.9
2021-10;35.4;28.2;6.5;59;1010.6
2021-09;39.5;31.6;6;52;1003.3
2021-08;41.8;33.6;5.2;52.5;1000.3
2021-07;41.5;33.8;6.3;55.9;997.2
2021-06;42.1;32.1;8;39;1000.6
2021-05;40;29.3;5.5;39;1005
2021-04;35;24.2;6.5;32;1010.6
2021-03;30.3;20.6;7.7;36;1013
2021-02;25.2;17.7;7.8;53;1017
2021-01;24.1;16.7;5.9;49;1019.2
2020-12;25.4;19;6.3;52;1018.8
2020-11;30.1;23.7;6;48;1016.2
2020-10;34.9;27.5;5.4;40;1011.5
2020-09;39.6;31;4.7;47;1004.7
2020-08;42.1;33.9;7.6;33;997.3
2020-07;41.6;33.5;6.2;42;997.3
2020-06;43.1;31.9;8.8;22;1000.1
2020-05;37.4;27.7;6.5;33;1007.1
2020-04;32.5;24.4;7.3;41;1010.3
2020-03;27;19.5;7.8;47.8;1013.2
2020-02;23.9;16.5;7;51;1018.1
2020-01;22.2;15.8;6.5;50.9;1018.5
2019-12;25.5;19.3;5.8;56;1017.8
2019-11;29.3;23.1;5.5;44;1016
2019-10;36.2;29.6;5.3;52;1010.7
2019-09;39.6;31.5;6.1;47.2;1004.1
2019-08;41.5;33.2;6.5;41;999
2019-07;41.8;33.5;7.5;34;997
2019-06;43.4;32.7;7.4;27;1000.7
2019-05;38.6;29;6.2;29;1007.4
2019-04;31.8;23.3;7.7;40;1011.2
2019-03;25.8;18.6;8.4;46.6;1014.3
2019-02;23.5;17;7.9;52;1017.4
2019-01;24.5;17.3;6.7;54;1019.2
2018-12;25.3;19.4;5.8;53.5;1018.9
2018-11;28.9;23.4;7.6;55;1016.5
2018-10;34.7;28.4;5.3;49;1012.8
2018-09;39.5;31.8;5;52.9;1005
2018-08;42.2;32.9;7.2;38;998.5
2018-07;42.6;33.4;7.3;31.5;996.3
2018-06;42.9;33;8.1;23.8;999.9
2018-05;37.8;28.6;7;27;1007
2018-04;33.1;24.7;7.9;37.4;1010
2018-03;31.2;21;6;41;1013.3
2018-02;25.3;17.5;6.2;54;1015.9
2018-01;23.4;15.5;5.7;49;1018.1
