Month;Total water production (Thousand m³)
2024-08;61040050
2024-07;60020608
2024-02;51662468
2024-01;54884488
2023-12;55241005
2023-11;54818473
2023-10;59465952
2023-08;60996442
2023-06;58576067
2023-05;57887538
2023-04;53384611
2023-03;29403894
2022-10;33711.224
2022-09;33956.447
2022-07;58511.231
2022-04;54790.078
2022-02;47653.075
2021-10;58677.616
2021-08;60035.636
2021-07;58490.227
2021-01;51253.948
2020-10;60530.42
2020-05;60086.932
2020-04;53678.361
2019-12;53535.522
2019-09;59534.781
2019-08;60549.121
2019-05;57179.387
2019-03;52476.62055
2019-02;31935.976
2018-12;35811
2018-07;40075
2018-06;39477
2018-05;41822
2018-01;40364
2024-10;58098664
2024-06;58035
2024-04;54441
2024-03;54751782
2024-11;54017450
2023-09;58862
2024-09;58182407
2023-07;59447635
2024-05;58565
2022-11;30729.088
2023-02;25553.527
2022-08;60168.128
2023-01;25983.565
2022-06;57355.075
2022-12;29567.411
2022-05;58020.165
2022-03;54065.044
2021-12;53971.366
2022-01;51993.922
2021-11;54311.925
2021-05;58332.914
2021-09;58477.958
2021-04;54535.726
2021-06;58862.817
2021-02;48487.796
2021-03;55374.92434
2020-07;62956.165
2020-12;54778.554
2020-06;61707.427
2020-11;55843.191
2020-02;50178.99736
2020-09;60880.152
2020-01;53378.08
2020-08;63587.959
2019-10;59741.647
2020-03;54801.559
2019-04;51539.237
2019-11;55829.928
2019-01;35228.072
2019-07;60714.601
2018-10;38701
2019-06;58299.054
2018-08;40455
2018-11;36302
2018-04;40413
2018-09;39497
2018-03;39792
2018-02;36580
