Month;Wastewater received;Wastewater after treatment
2024-02;22068;21870
2023-10;25608;25417
2023-05;23215;23354
2023-04;22497;22229
2022-07;22014;21837
2022-05;20562;20594
2021-10;21340.17;21306.301
2021-09;21842.752;21599.946
2021-08;21649.736;21495.142
2020-12;22562.1942;22370.505
2020-04;25516.06;24954.083
2020-03;24715.615;24193.749
2020-02;22283.851;21730.711
2019-11;23718.702;23539.461
2019-10;24649.182;24512.235
2019-07;22987.028;22822.447
2019-06;22263.734;21907.757
2019-04;22237.816;21887.24
2019-02;21690.071;20553.138
2018-10;25842;25403
2018-06;20239;20150
2018-05;20940;20781
2018-04;19725;19610
2018-01;19288;19239
2024-08;23831;23678
2024-05;24300;24314
2024-03;23567.8;23625
2023-12;23614;23530
2023-11;25193;24973
2023-08;23412;23472
2023-07;22318;22990
2023-06;22362;22700.5
2023-03;23400;22974
2023-01;26827;26321
2022-10;24320;24091
2022-04;20857;20798
2022-03;21194;21039
2022-02;18704;18801
2022-01;21023;20922
2021-12;21097.643;21091.79
2021-11;20656.967;20666.27
2021-07;21290.093;21463.402
2021-06;20868.173;20875.671
2021-05;21742.438;21691.341
2021-03;21429.02;21417.91
2021-02;19486.34;19238.38
2020-11;23006.5824;22443.429
2020-10;24538.181;24135.301
2020-08;25122.296;24953.459
2020-07;24324.519;24320.023
2020-05;25482.706;25165.258
2019-08;23519.201;23294.31
2018-08;21026;20803
2018-07;20889;20709
2018-03;20096;19940
2018-02;17795;17712
2024-11;23558;23613
2024-10;25298;25300
2024-09;24223;23966
2024-07;22948;23526
2024-06;22988;23748
2024-04;22846;22755
2024-01;23369;23199
2023-09;23405;23299
2023-02;21377;20803
2022-12;24448;24078
2022-11;23963;23525
2022-09;23004;22844
2022-08;23530;23540
2022-06;21124.905;21589.1
2021-04;20795.917;20886.718
2021-01;21794.052;21607.338
2020-09;22336.64;22110.86
2020-06;24133.871;24022.511
2020-01;24535.759;23865.615
2019-12;25149.574;25012.279
2019-09;23884.402;23640.8365
2019-05;23053.718;22890.076
2019-03;22438.949;22281.656
2019-01;23662.81;23548.701
2018-12;24462.343;24324.858
2018-11;25951.053;25935.722
2018-09;22033;21765
