Month;Total  Deposits;Public Sector Deposits; Private Sector Deposits;Non-Resident Deposits
2024-09;1046901;378052;469536;199313
2024-06;1031817;366912;467920;196985
2024-04;1024808;372986;467188;184634
2024-02;1028646;368960;476802;182884
2023-10;979300;328036;471064;180200
2022-03;967688;291346;417880;258462
2021-12;974110;288676;404765;280669
2021-06;960625;291872;397034;271719
2020-08;871340;269405;387609;214326
2020-06;884191;280943;392083;211165
2020-01;872859.256;278355.713;379495.186;215008.357
2019-11;830458;260197;367717;202544
2019-04;800812;258010;364161;178641
2019-01;789683;269815;358248;161620
2018-09;817848;292104;355733;170011
2018-07;813502;291645;362579;159278
2018-03;821544;308969;365825;146750
2018-01;803170;296525;369603;137042
2024-11;1042120;369391;474384;198345
2024-07;1032554;366186;466862;199506
2024-01;1014325;360948;471707;181670
2023-12;985984;342634;464298;179052
2023-11;981531;329498;469532;182501
2023-06;955107;324613;451593;178901
2023-05;954539;326928;451276;176335
2023-04;964152;333934;449068;181150
2023-02;950169;321533;453128;175508
2023-01;960225;315716;456963;187546
2022-12;999143;348339;458209;192595
2022-10;954177;317696;443010;193471
2022-09;965054;324636;436667;203751
2022-08;973156;328986;434603;209567
2022-04;956067;296196;418149;241722
2022-02;964488;279532;418764;266192
2021-11;963796;283199;403023;277574
2021-10;965454;279012;400199;286243
2021-09;975498;293310;399333;282855
2021-05;962179;286244;397577;278358
2021-04;943507;262522;400850;280135
2021-03;945182;278763;400175;266244
2021-01;901110;258437;401932;240741
2020-12;905509;263289;397062;245158
2020-11;884822;252874;393232;238716
2020-10;875727;255961;392611;227155
2020-09;879875;266220;392940;220715
2020-05;864365;265158;391825;207382
2019-12;849149;273080;367847;208222
2019-07;814013;251870;365544;196599
2019-06;825732;265110;362352;198270
2019-03;846526;303787;366304;176435
2019-02;809161;278307;360268;170586
2018-12;810343;282006;359261;169076
2018-10;806004;278975;359893;167136
2018-08;807344;287307;360034;160003
2018-06;818333;313334;354944;150055
2018-04;794256;293228;359046;141982
2024-10;1038371;370145;472530;195696
2024-08;1035202;373260;466535;195407
2024-05;1032151;376009;467323;188819
2024-03;1031034;369647;471404;189983
2023-09;953348;316955;458526;177867
2023-08;927735;304176;446048;177511
2023-07;927795;301601;446319;179875
2023-03;967472;331126;456003;180343
2022-11;958187;317998;453059;187130
2022-07;964852;317263;435169;212420
2022-06;983975;329237;431901;222837
2022-05;967166;306678;433192;227296
2022-01;960168;280672;407656;271840
2021-08;955662;281183;396439;278040
2021-07;953580;283092;395929;274559
2021-02;912406;257756;403091;251559
2020-07;878054;274506;391624;211924
2020-04;879343.638;286733.557;390767.002;201843.079
2020-03;893381.075;294788.072;384364.49;214228.513
2020-02;879463;279878;382952;216633
2019-10;825272;259539;366891;198842
2019-09;831749;265789;368733;197227
2019-08;811191;252356;362104;196731
2019-05;806259;257079;360751;188429
2018-11;794082;272360;357462;164260
2018-05;785426;287842;357524;140060
2018-02;811549;301346;367779;142424
