Month;Marriages
2023-05;658
2023-04;464
2023-03;734
2023-02;620
2023-01;678
2022-12;608
2022-11;520
2022-10;702
2022-09;738
2022-08;634
2022-07;560
2022-06;746
2022-05;688
2022-04;490
2022-03;808
2022-02;752
2022-01;526
2021-12;806
2021-11;778
2021-10;774
2021-09;726
2021-08;678
2021-07;692
2021-06;842
2021-05;622
2021-04;684
2021-03;746
2021-02;596
2021-01;808
2020-12;822
2020-11;780
2020-10;972
2020-09;834
2020-08;954
2020-07;908
2020-06;620
2020-05;330
2020-04;300
2020-03;560
2020-02;642
2020-01;738
2019-12;630
2019-11;584
2019-10;626
2019-09;572
2019-08;564
2019-07;632
2019-06;610
2019-05;534
2019-04;650
2019-03;626
2019-02;574
2019-01;616
2018-12;568
2018-11;660
2018-10;588
2018-09;680
2018-08;590
2018-07;658
2018-06;590
2018-05;606
2018-04;660
2018-03;696
2018-02;580
2018-01;608
