Month;"القطريين الذكور
Qatari Male";"غير القطريين الذكور
Non Qatari Male";"القطريين الإناث
Qatari Female";"غير القطريين الإناث
Non Qatari Female"
2023-05;157.0;172.0;158.0;171.0
2023-04;116.0;116.0;115.0;117.0
2023-03;161.0;206.0;155.0;212.0
2023-02;153.0;157.0;138.0;172.0
2023-01;152.0;187.0;154.0;185.0
2022-12;150.0;154.0;139.0;165.0
2022-11;135.0;125.0;126.0;134.0
2022-10;208.0;143.0;190.0;161.0
2022-09;220.0;149.0;210.0;159.0
2022-08;190.0;127.0;171.0;146.0
2022-07;147.0;133.0;140.0;140.0
2022-06;204.0;169.0;200.0;173.0
2022-05;167.0;177.0;150.0;194.0
2022-04;122.0;123.0;121.0;124.0
2022-03;194.0;210.0;186.0;218.0
2022-02;190.0;186.0;181.0;195.0
2022-01;120.0;143.0;92.0;171.0
2021-12;184.0;219.0;163.0;240.0
2021-11;200.0;189.0;182.0;207.0
2021-10;218.0;169.0;206.0;181.0
2021-09;227.0;136.0;211.0;152.0
2021-08;174.0;165.0;154.0;185.0
2021-07;187.0;159.0;181.0;165.0
2021-06;238.0;183.0;233.0;188.0
2021-05;187.0;124.0;182.0;129.0
2021-04;191.0;151.0;182.0;160.0
2021-03;218.0;155.0;206.0;167.0
2021-02;174.0;124.0;159.0;139.0
2021-01;233.0;171.0;220.0;184.0
2020-12;226.0;185.0;198.0;213.0
2020-11;238.0;152.0;237.0;153.0
2020-10;303.0;183.0;286.0;200.0
2020-09;288.0;129.0;279.0;138.0
2020-08;328.0;149.0;330.0;147.0
2020-07;312.0;142.0;308.0;146.0
2020-06;223.0;87.0;217.0;93.0
2020-05;122.0;43.0;119.0;46.0
2020-04;94.0;56.0;86.0;64.0
2020-03;164.0;116.0;161.0;119.0
2020-02;183.0;138.0;165.0;156.0
2020-01;207.0;162.0;181.0;188.0
2019-12;153.0;162.0;146.0;169.0
2019-11;185.0;107.0;172.0;120.0
2019-10;201.0;112.0;185.0;128.0
2019-09;174.0;112.0;165.0;121.0
2019-08;166.0;116.0;161.0;121.0
2019-07;176.0;140.0;167.0;149.0
2019-06;187.0;118.0;178.0;127.0
2019-05;165.0;102.0;160.0;107.0
2019-04;180.0;145.0;176.0;149.0
2019-03;182.0;131.0;176.0;137.0
2019-02;152.0;135.0;139.0;148.0
2019-01;152.0;156.0;145.0;163.0
2018-12;151.0;133.0;146.0;138.0
2018-11;185.0;145.0;180.0;150.0
2018-10;184.0;110.0;157.0;137.0
2018-09;227.0;113.0;207.0;133.0
2018-08;179.0;116.0;166.0;129.0
2018-07;189.0;140.0;163.0;166.0
2018-06;174.0;121.0;167.0;128.0
2018-05;180.0;123.0;164.0;139.0
2018-04;193.0;137.0;174.0;156.0
2018-03;196.0;152.0;184.0;164.0
2018-02;160.0;130.0;148.0;142.0
2018-01;164.0;140.0;156.0;148.0
