Month;less than 15;15-24  ;25-64 ;more than 65
2024-11;457923;356065;2311961;47075
2024-10;432818;345423;2267198;45581
2024-09;453435;352669;2287929;45180
2024-08;425792;349349;2235852;43372
2024-07;320302;315379;2111230;40664
2024-06;346704;327852;2141655;41611
2024-05;440526;344494;2252294;43490
2024-04;444406;342969;2267778;43713
2024-03;438606;344542;2291496;44945
2024-02;438967;342345;2302856;44815
2024-01;434105;340552;2297236;46321
2023-12;380930;322830;2217579;44613
2023-11;425231;331015;2285323;43338
2023-10;423988;328249;2289430;43420
2023-09;420732;325162;2268923;42690
2023-08;400937;320787;2206420;41293
2023-07;290727;290146;2083704;39395
2023-06;294516;287663;2034520;39333
2023-05;413556;320676;2224590;42959
2023-04;409424;316566;2187248;43023
2023-03;412852;319908;2228069;44240
2023-02;412601;318967;2208170;42893
2023-01;410431;320177;2181614;42725
2022-12;396966;318414;2151378;42376
2022-11;371104;309310;2171159;39772
2022-10;414039;315886;2249247;40908
2022-09;409265;308804;2226921;40039
2022-08;403882;306012;2188814;39092
2022-07;299894;273870;2047557;36990
2022-06;307295;268950;2043143;37945
2022-05;402365;285924;2123962;40635
2022-04;387221;279933;2064898;41546
2022-03;402275;277847;2104248;41916
2022-02;406660;274673;2088811;41630
2022-01;405978;269873;2073961;42113
2021-12;382143;258644;1995440;40774
2021-11;398884;260693;1994918;38806
2021-10;397329;256049;1967355;38596
2021-09;393665;255120;1948944;38349
2021-08;372318;252009;1910258;37613
2021-07;297075;232660;1813974;36302
2021-06;334660;246936;1885299;38015
2021-05;392229;260756;1936322;39205
2021-04;396477;261959;1948787;39631
2021-03;396098;262191;1944575;39248
2021-02;398689;266336;1956123;39640
2021-01;396739;270936;1960973;40163
2020-12;394519;276457;1973278;40075
2020-11;397682;284031;1996745;37461
2020-10;395860;285410;1999065;37025
2020-09;393333;289678;2003855;36758
2020-08;391124;295054;2012787;36742
2020-07;388535;297096;2026645;36939
2020-06;393686;304483;2058493;37486
2020-05;396441;308137;2065545;37682
2020-04;398415;311092;2058042;37653
2020-03;399454;313022;2045580;37428
2020-02;398675;310061;2036334;37036
2020-01;397239;314594;2024747;36641
2019-12;367735;309552;1974882;35702
2019-11;393012;318668;2028242;33963
2019-10;390243;318851;2010440;33511
2019-09;389496;319769;2004867;33150
2019-08;266622;300339;1877156;30946
2019-07;266622;300339;1877156;30946
2019-06;331966;320344;1953452;32895
2019-05;381111;332899;1992085;34384
2019-04;389900;330881;2017202;34311
2019-03;380029;330850;2016016;33691
2019-02;383685;332045;2023303;33914
2019-01;383208;335233;2014148;33870
2018-12;353131;329719;1958475;32995
2018-11;379910;336521;2009429;31577
2018-10;376904;334813;2000834;31381
2018-09;374500;332988;1979628;30770
2018-08;326033;327047;1879246;29317
2018-07;259184;314691;1847434;28976
2018-06;319179;330136;1900692;30727
2018-05;375145;345341;1979060;32364
2018-04;375579;338172;1961369;31697
2018-03;364474;339190;1949935;31454
2018-02;372077;337698;1958910;31705
2018-01;354285;333761;1924487;31195
