Month;Total Registered New Vehicles;Private;Private Motorcycles;Taxi;Private Transport;Trailer;Public Transport;Heavy Equipment
2024-02;7231;5538;142;9;971;34;0;124
2024-01;8512;6074;360;2;1124;51;0;124
2023-11;8046;5453;515;0;1243;31;0;174
2023-08;7545;5209;251;0;1143;45;0;251
2023-04;6816;5132;144;0;896;15;0;113
2023-01;6389;4988;213;0;918;64;0;162
2022-10;12203;7055;639;0;1959;66;6;205
2022-05;6535;4574;685;20;960;42;0;182
2022-04;7321;4713;1048;200;1126;39;1;157
2022-03;8734;5244;1062;200;1928;49;0;161
2022-02;6900;4352;1010;2;1269;64;0;193
2022-01;7983;4270;1467;0;1714;42;0;224
2021-03;5342;3666;339;0;1052;41;1;232
2021-02;5141;3401;369;0;1044;27;0;236
2020-11;5069;3337;404;3;1024;21;0;251
2020-04;2535;1274;297;0;685;6;17;68
2020-03;4294;2999;273;2;869;14;0;93
2019-04;5705;3843;346;0;1281;37;0;135
2019-03;6245;4393;246;2;1320;62;0;154
2018-10;6339;4418;471;33;1108;42;0;184
2018-09;4951;3381;142;111;1028;83;1;187
2018-05;5443;3696;187;0;1279;71;1;195
2018-04;5283;3644;175;45;1112;80;0;190
2018-02;5319;3431;125;157;1310;90;3;175
2024-11;9531;7433;642;0;1111;66;0;139
2024-08;8605;6641;216;0;1173;54;0;131
2024-07;7733;6117;163;22;1202;52;0;137
2024-06;6333;5145;146;0;884;42;1;91
2024-05;8903;7310;159;43;1163;48;0;160
2024-04;7011;5642;185;38;951;43;0;133
2023-12;3390;2316;220;0;471;17;0;100
2023-10;8589;5762;509;0;1265;40;0;196
2023-09;8446;6074;299;735;1053;54;0;154
2023-07;6146;4283;205;489;958;40;0;156
2023-05;8214;5868;231;0;1285;27;0;230
2023-03;7091;4889;231;5;1103;29;1;160
2022-11;9423;6208;538;0;1323;31;21;107
2022-09;8367;5331;604;0;1648;83;84;199
2022-08;8835;6078;885;5;1498;39;0;218
2021-12;7212;4524;734;1;1677;45;0;179
2021-11;6882;4335;590;0;1322;55;0;328
2021-09;7388;5243;351;7;1434;25;0;261
2021-08;6984;4658;412;16;1624;31;0;207
2021-07;5440;3337;297;0;1456;22;0;300
2021-06;5232;3017;361;0;1445;27;0;239
2021-05;4695;3153;234;0;1078;20;0;198
2021-04;4734;3079;270;0;1125;29;1;186
2020-12;5825;3955;432;4;1148;41;0;214
2020-10;5674;3317;218;1;1743;53;0;241
2020-06;3898;2272;338;30;1004;25;1;159
2020-05;1878;1063;107;37;570;2;5;79
2019-10;6557;4609;300;112;1254;50;0;120
2019-08;3970;2735;121;116;805;16;24;75
2019-06;4103;2941;109;45;885;18;0;93
2019-02;5048;3445;300;0;1043;36;0;170
2019-01;5598;3925;328;0;1111;69;0;116
2018-12;5263;3636;472;1;954;34;0;156
2018-11;5495;3674;447;0;1170;39;0;127
2018-07;4622;2914;179;0;1148;68;0;264
2018-06;3910;2660;112;0;927;33;0;149
2018-01;6283;3919;225;20;1541;188;2;317
2024-10;10606;8320;507;1;1452;77;1;201
2024-09;9517;7675;429;4;1184;71;0;113
2024-03;7835;6039;225;20;1240;37;0;91
2023-06;6593;4466;218;0;1141;29;1;118
2023-02;5862;4286;277;129;983;31;0;132
2022-12;4558;3284;311;6;754;64;1;92
2022-07;5849;3723;580;26;1338;23;0;149
2022-06;8011;4955;1123;106;1494;46;0;208
2021-10;6771;4071;647;7;1759;40;0;220
2021-01;5468;3733;270;0;1178;47;0;163
2020-09;6191;4164;341;0;1342;33;0;211
2020-08;4565;2866;271;8;1046;51;0;277
2020-07;5582;3233;495;156;1332;39;0;226
2020-02;6015;4414;312;0;1112;34;5;111
2020-01;5925;4354;190;1;1129;54;0;107
2019-12;6017;4144;328;2;1217;44;0;226
2019-11;5690;4184;228;1;962;64;0;121
2019-09;5921;4375;334;19;972;27;0;125
2019-07;5161;3236;365;70;1296;32;0;136
2019-05;5665;4149;200;18;1021;60;0;164
2018-08;3818;2649;123;0;761;36;0;199
2018-03;6332;4303;169;201;1351;64;0;225
